,Unnamed: 0,movieId,title,genres,avg_rating,number_of_viewers,imdbId,tmdbId,adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count
10,10,11,The American President,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3.6714285714285713,70.0,112346,9087.0,False,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg,,62000000,,9087,tt0112346,['US'],en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",2.6491,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"[{'id': 97, 'logo_path': '/smyTD67uNsdaySnnjVDmh0kyotp.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 316, 'logo_path': '/AjLnvitW6m0n1wp3ElezITDDb4x.png', 'name': 'Wildwood Enterprises', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-17,107879496,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Why can't the most powerful man in the world have the one thing he wants most?,False,6.534,767
11,11,12,Dracula: Dead and Loving It,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",2.4210526315789473,19.0,112896,12110.0,False,/rLUTSWHmphMe0wH0WSFxcywzOHW.jpg,,30000000,,12110,tt0112896,['US'],en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",2.551,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,"[{'id': 97, 'logo_path': '/smyTD67uNsdaySnnjVDmh0kyotp.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}, {'id': 5612, 'logo_path': None, 'name': 'Brooksfilms', 'origin_country': 'US'}, {'id': 9, 'logo_path': '/nda3dTUYdDrJ6rZqBpYvY865aDv.png', 'name': 'Gaumont', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,10772144,88,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You'll laugh until you die...then you'll rise from the dead and laugh again!,False,6.057,1084
12,12,13,Balto,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",3.125,8.0,112453,21032.0,False,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/QOrff6cgBDsLtbiGgqr1AiqkLn.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",31000000,,21032,tt0112453,['US'],en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",2.9029,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 4105, 'logo_path': '/1dIBrbgSoWiEig0CymjqkSf7UGL.png', 'name': 'Amblimation', 'origin_country': 'GB'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,11348324,78,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,His story became a legend. His adventure is one you'll never forget.,False,7.305,2142
13,13,14,Nixon,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",3.8333333333333335,18.0,113987,10858.0,False,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg,,44000000,,10858,tt0113987,['US'],en,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,4.2857,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,"[{'id': 1504, 'logo_path': '/yVAJJ4TgnV1FsDmLh6h5ZNJd0vf.png', 'name': 'Cinergi Pictures', 'origin_country': 'US'}, {'id': 915, 'logo_path': '/4neXXpjSJDZPBGBnfWtqysB5htV.png', 'name': 'Hollywood Pictures', 'origin_country': 'US'}, {'id': 3480, 'logo_path': None, 'name': 'Illusion Entertainment Group', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,13681765,192,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",False,6.9,388
14,14,15,Cutthroat Island,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",3.0,13.0,112760,1408.0,False,/ndjMBg9FINJBEi1RaP64oLApR1s.jpg,,102000000,,1408,tt0112760,['US'],en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",2.418,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,"[{'id': 275, 'logo_path': '/oLnOYtAjF0z9CrqJqWptFkhHOQG.png', 'name': 'Carolco Pictures', 'origin_country': 'US'}, {'id': 2980, 'logo_path': None, 'name': 'Forge', 'origin_country': 'US'}, {'id': 415, 'logo_path': None, 'name': 'Laurence Mark Productions', 'origin_country': 'US'}, {'id': 178024, 'logo_path': None, 'name': 'Beckner/Gorman Productions', 'origin_country': ''}, {'id': 183, 'logo_path': '/eadyph99FClrWlnE0jPniwOcvvw.png', 'name': 'Le Studio Canal+', 'origin_country': 'FR'}, {'id': 178026, 'logo_path': None, 'name': 'Tele-Communications', 'origin_country': 'DE'}, {'id': 23246, 'logo_path': None, 'name': 'RCS Video', 'origin_country': 'IT'}, {'id': 178025, 'logo_path': None, 'name': 'Cutthroat Productions L.P.', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1995-12-22,16000000,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}]",Released,Be bold. Be brave. Be prepared.,False,5.78,602
15,15,16,Casino,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",3.926829268292683,82.0,112641,524.0,False,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,,50000000,,524,tt0112641,['US'],en,Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",9.1522,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 11583, 'logo_path': None, 'name': 'Syalis DA', 'origin_country': 'FR'}, {'id': 22997, 'logo_path': '/niPdWsCgM1HoAEnh3Z200V4nDIo.png', 'name': 'Légende Films', 'origin_country': 'FR'}, {'id': 211783, 'logo_path': None, 'name': 'Cappa/De Fina Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-22,116112375,179,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,No one stays at the top forever.,False,7.99,6379
16,16,17,Sense and Sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3.776119402985074,67.0,114388,4584.0,False,/cFnyfWHL6HjOOVal6lp8e5gqibK.jpg,,16000000,,4584,tt0114388,"['GB', 'US']",en,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",7.4549,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 932, 'logo_path': '/o7leiZVIDBHxODfK8pjGPV2SdMp.png', 'name': 'Mirage Enterprises', 'origin_country': 'US'}, {'id': 10565, 'logo_path': '/5djnxodjmgbzdXiNRllwhQPxANY.png', 'name': 'Good Machine', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-12-13,134582776,136,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Lose your heart and come to your senses.,False,7.4,1804
17,17,18,Four Rooms,"[{'id': 35, 'name': 'Comedy'}]",3.7,20.0,113101,5.0,False,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,,4000000,https://www.miramax.com/movie/four-rooms/,5,tt0113101,['US'],en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,3.4339,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 59, 'logo_path': '/b1tj5EWcFQLYaQrw1D9V4s8kUgN.png', 'name': 'A Band Apart', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-09,4257354,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",False,5.9,2799
18,18,19,Ace Ventura: When Nature Calls,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",2.727272727272727,88.0,112281,9273.0,False,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg,"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/81lmzeTuMAyrDpgX6um9PIYgw8Y.jpg'}",30000000,,9273,tt0112281,['US'],en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",3.5921,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,"[{'id': 10210, 'logo_path': '/fmFmUxBijh8764GNSSIiwXYD83K.png', 'name': 'Morgan Creek Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-10,212385533,90,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,New animals. New adventures. Same hair.,False,6.319,4446
19,19,20,Money Train,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2.5,15.0,113845,11517.0,False,/gyaBJn7eR8Ol205wmT2Xpi6IuhA.jpg,,68000000,https://www.sonypictures.com/movies/moneytrain,11517,tt0113845,['US'],en,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",2.3358,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 16774, 'logo_path': '/uD6Ls0FSJwo13ekpz91s1TRpkGq.png', 'name': 'Peters Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-21,77224232,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Get on, or GET OUT THE WAY!",False,5.848,836
