,cluster_id,custom_genre,description,exemplar_overview,included_movies
10,228,Robin Hood Rebellion,"This genre unites films centered on the legendary Robin Hood, blending themes of justice, rebellion against tyranny, and romance set in medieval England. These movies showcase the iconic outlaw's fight against corrupt rulers and his efforts to protect the oppressed, often mixing action, drama, and humor.","In a land ruled by greed and corruption, a noble outlaw rises to challenge the oppressive regime. With his band of loyal followers, he steals from the rich to give to the poor, battles treacherous foes, and fights to restore justice and honor to his homeland—all while navigating love and loyalty.","['The Adventures of Robin Hood', 'Robin Hood: Men in Tights', 'Robin Hood: Prince of Thieves', 'Robin Hood (2010)', 'Robin Hood (2018)', 'Robin and Marian', 'Robin Hood: The Legend of Sherwood', 'Robin Hood: The Movie']"
11,251,Gotham Vigilante Saga,"This genre unites films centered on the dark, complex journey of Bruce Wayne as he transforms into Batman, battling crime and corruption in Gotham City. These movies blend intense action, psychological depth, and a brooding atmosphere, exploring themes of justice, redemption, and the duality of heroism.","After years of absence, a seasoned Batman returns to a Gotham City overrun by new threats and old enemies. Struggling with his own past and the city's future, he must forge uneasy alliances and confront his darkest fears to restore hope to a city on the brink of chaos.","['Batman: Mask of the Phantasm', 'The Dark Knight Rises', 'The Dark Knight', 'Batman Returns', 'Batman: The Dark Knight Returns, Part 1', 'Batman Begins', 'Batman']"
12,289,Whimsical Inventor Adventures,"This genre features the charming and quirky escapades of an eccentric inventor and his clever dog, blending inventive gadgets, lighthearted mysteries, and heartwarming friendships in a delightfully whimsical world.","When eccentric inventor Wallace and his resourceful dog Gromit stumble upon a mysterious plot threatening their peaceful town, they must combine Wallace's quirky inventions and Gromit's keen intelligence to save the day, all while sharing laughs, solving puzzles, and enjoying the simple pleasures of cheese and companionship.","['A Close Shave', 'A Grand Day Out', 'Wallace & Gromit: The Curse of the Were-Rabbit', 'The Wrong Trousers', 'A Matter of Loaf and Death', 'The Adventures of Tintin', 'Coraline', 'Fantastic Mr. Fox']"
13,400,Twisted Justice Thrillers,"These movies revolve around intense legal battles, intricate murder plots, and morally complex characters entangled in webs of deception, betrayal, and revenge. They blend courtroom drama with psychological suspense, often featuring protagonists fighting against or manipulating the justice system to uncover or conceal dark truths.","When a devoted husband discovers his wife is accused of a shocking crime, he plunges into a dangerous game of cat and mouse with the legal system and hidden enemies, risking everything to prove her innocence while confronting chilling secrets that threaten to destroy them both.","['Law Abiding Citizen', 'The Next Three Days', 'Dial M for Murder', 'Gone Girl', 'Body Heat', 'Suspicion', 'Fracture', 'Arthur', 'Witness for the Prosecution', 'Jagged Edge', 'Primal Fear', 'A Time to Kill', 'Double Jeopardy', 'The Lincoln Lawyer', 'Mystic River']"
14,426,Con & Crossroads,"This genre blends tales of cunning cons and personal crossroads, where characters navigate complex relationships and moral dilemmas often set against challenging backdrops like the Great Depression or personal upheaval.","In 'The Last Hustle,' a seasoned con artist teams up with a spirited young runaway during the economic turmoil of the 1930s. As they weave through schemes and betrayals, they confront their own fractured pasts and uncertain futures, blurring the lines between family and deception.","['The Grifters', 'Matchstick Men', 'Paper Moon', 'The Journey of Natty Gann', 'The Graduate', 'The Last Hustle', 'Catch Me If You Can', 'The Sting']"
15,468,WWII Undersea & Survival Thrillers,"This genre combines intense WWII submarine warfare and code-breaking dramas with gripping survival stories set at sea, highlighting human endurance, strategic battles beneath the waves, and the race against time in hostile ocean environments.","In the midst of WWII, a determined submarine captain leads his crew through deadly underwater battles while a brilliant codebreaker races to crack enemy communications. When disaster strikes, survivors must band together in a lifeboat, fighting the elements and enemy threats to make it back home.","['Run Silent, Run Deep', 'Enigma', 'U-571', 'Lifeboat', 'Das Boot', 'The Imitation Game', 'The Poseidon Adventure']"
16,492,Wartime Rebel Ops,"This genre unites films centered on daring, unconventional military missions during World War II, featuring diverse groups of soldiers who defy orders, overcome class divides, and execute high-stakes operations behind enemy lines.","In the midst of WWII chaos, a ragtag band of soldiers from varied backgrounds unite for a covert mission to infiltrate enemy territory, outsmart ruthless foes, and change the tide of the war through sheer grit and cunning.","['The Guns of Navarone', 'Grand Illusion', ""Kelly's Heroes"", 'The Great Escape', 'The Inglorious Bastards', 'The Dirty Dozen', 'Where Eagles Dare', 'Inglourious Basterds', 'Fury', 'Saving Private Ryan']"
17,735,Epic Middle-earth Quests,"This genre encompasses grand fantasy adventures set in the richly detailed world of Middle-earth, featuring heroic quests, battles between good and evil, and the struggle for powerful artifacts like the One Ring and the treasure of Erebor.","In a land torn by ancient rivalries and dark forces, a humble hobbit embarks on a perilous journey with a fellowship of warriors to destroy a powerful ring that could enslave the world. Along the way, dragons, elves, dwarves, and men clash in epic battles that will decide the fate of all.","['The Hobbit: An Unexpected Journey', 'The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings']"
18,750,Nostalgic Coming-of-Age Comedy,"These movies capture the bittersweet, chaotic, and hilarious moments of youth and early adulthood, often set against a backdrop of friendship, self-discovery, and the struggle to transition into the next phase of life. They blend humor with nostalgia, highlighting the awkwardness, rebellion, and camaraderie that define coming-of-age experiences.","In 'Summer Break Shenanigans,' a group of lifelong friends reunite at their old summer camp to relive the glory days before they all head off to different paths in life. Between wild parties, awkward confessions, and unexpected adventures, they learn that growing up doesn't mean growing apart.","['Wet Hot American Summer', 'American Pie 2', 'Superbad', 'SLC Punk', ""St. Elmo's Fire"", 'Hot Tub Time Machine', 'Frequently Asked Questions About Time Travel', ""The World's End"", 'Ghost World', 'Dazed and Confused', 'The Breakfast Club', ""Can't Hardly Wait"", 'Adventureland']"
19,760,Haunted Havens,"This genre unites films centered around eerie, malevolent houses or homes that become the epicenter of supernatural terror, blending haunted house horror with elements of dark comedy and suspense.","When a quirky family moves into a charming old mansion, they soon discover the house has a mind of its own—filled with mischievous spirits, sinister secrets, and a past that refuses to stay buried. As the walls close in, they must unravel the mystery before the house claims them forever.","['Beetlejuice', 'Paranormal Activity', 'Paranormal Activity 2', 'Monster House', 'The Conjuring', 'Poltergeist', 'The Amityville Horror', 'Insidious', 'The Others', 'Sinister']"
20,1182,Mutant Legacy Saga,"This genre unites films centered on the complex lives, struggles, and battles of mutants with extraordinary powers, exploring themes of identity, survival, and the fight for coexistence between mutants and humans across different timelines and generations.","In a world where mutants are feared and hunted, a diverse group of gifted individuals must come together to confront a rising threat that could annihilate their kind. As past and present collide, they face impossible choices that will define the future of mutantkind and humanity alike.","['X-Men: Days of Future Past', 'X-Men', 'X-Men: First Class', 'X2', 'X-Men: The Last Stand', 'X-Men: Apocalypse', 'Logan', 'Deadpool', 'X-Men Origins: Wolverine', 'The New Mutants']"
21,1209,Epic Kung Fu Legends,"This genre combines thrilling martial arts action with rich cultural heritage and epic battles against formidable foes, often blending historical settings or mythic storytelling with heartfelt character journeys.","In a time when ancient traditions clash with modern threats, a reluctant hero rises to master legendary kung fu techniques and unite diverse allies to protect their homeland from dark forces seeking to destroy their way of life.","['The Legend of Drunken Master', 'Kung Fu Panda', 'Kung Fu Panda 2', 'Kung Fu Panda 3', 'Once Upon a Time in China', 'Crouching Tiger, Hidden Dragon', 'Hero', 'Ip Man']"
22,1340,Wizarding Epic Saga,"A magical journey following a young wizard's growth from a novice student to a hero battling dark forces, set in a richly detailed world of spells, friendship, and epic quests.","When an orphaned boy discovers he is a wizard, he embarks on a thrilling adventure at a magical school, uncovering dark secrets, forging unbreakable bonds, and confronting an ancient evil threatening both the magical and non-magical worlds.","[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Deathly Hallows: Part 1', 'Harry Potter and the Deathly Hallows: Part 2', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Fantastic Beasts and Where to Find Them', 'Percy Jackson & the Olympians: The Lightning Thief', 'The Lord of the Rings: The Fellowship of the Ring']"
23,1908,Marvel Heroic Saga,"This genre unites the epic journeys of iconic Marvel superheroes as they battle cosmic threats, personal challenges, and global crises. These films blend action-packed superhero exploits with deep character development and interconnected storylines, creating a sprawling saga of heroism and sacrifice.","When a cosmic tyrant threatens to unravel the fabric of the universe, a band of extraordinary heroes must overcome their differences and unite to protect Earth and beyond. As alliances form and betrayals surface, the fate of all existence hangs in the balance.","['Captain America: The Winter Soldier', 'Avengers: Age of Ultron', 'Thor: The Dark World', 'Iron Man 3', 'Avengers: Infinity War', 'Thor: Ragnarok', 'Captain America: The First Avenger', 'Captain America: Civil War', 'Iron Man', 'Iron Man 2', 'Thor']"
